Question;Réponse 1;Réponse 2;Réponse 1.1 valeur;R 1.1;Réponse 2.1 valeur;R 2.1;Réponse 1.2 valeur;R 1.2;Réponse 2.2 valeur;R 2.2;ILLU GAUCHE;PRIO;ILLU DROITE;PRIO;Question (ENGLISH);Réponse 1 (ENGLISH);Réponse 2 (ENGLISH);;;
Tu préfères le jour ou la nuit;Jour;Nuit;capitaliste;10;capitaliste;-10;sansCategorie;0;sansCategorie;0;;;;;Are you more of a morning person or a night owl ;Morning person ;Night owl ;;mort;0
Devenir sourd ou devenir muet;Sourd;Muet;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;To be deaf or to be mute;Deaf;Mute;;rapportAuxAutres;15
Mourir aujourd'hui ou mourir demain;Aujourd'hui;Demain;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;To die today or to die tomorrow;Today;Tomorrow;;rapportASoi;14
Sauver un adulte ou un bébé;Adulte;Bébé;tradiProgres;-10;tradiProgres;10;sansCategorie;0;sansCategorie;0;;;;;Save an adult or save a baby;An adult;A baby;;natureHumaine;12
Se téléporter ou lire dans les pensées;Se téléporter;Lire dans les pensées;sansCategorie;0;rapportAuxAutres;-10;sansCategorie;0;sansCategorie;0;;;;;To have the ability to teleport or to read minds;To Teleport;To read minds ;;spiritualite;9
Les animaux rêvent quand ils dorment;Oui;Non;sansCategorie;0;cartesien;10;sansCategorie;0;sansCategorie;0;;;;;Animals dream when they sleep;Yes ;No;;ego;18
L'IA pourra penser pour de vrai;Oui;Non;cartesien;10;natureHumaine;10;sansCategorie;0;sansCategorie;0;;;;;AI will be able to truly think;Yes ;No;;tradiProgres;15
On possède une âme;Oui;Non;spiritualite;20;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Do we have a soul;Yes ;No;;art;10
Est-ce que tu me fais confiance;Oui;Non;cartesien;5;sansCategorie;0;sansCategorie;0;sansCategorie;0;SOLEIL;1;PILLS;1;Do you trust me;Yes ;No;;morale;15
Quel est le pire, remords ou regret;Remord;Regret;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Which is worse, remorse or regret;Remorse;Regret;;education;11
Tu penses avoir réussi ta vie;Oui;Non;ego;10;capitaliste;5;spiritualite;10;sansCategorie;0;;;;;Do you think you've succeeded in life;Yes ;No ;;bonheur;14
Tu es productif;Oui;Non;capitaliste;10;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Are you productive;Yes ;No ;;roleEtat;12
Tout a un sens;Oui;Non;cartesien;15;spiritualite;10;sansCategorie;0;sansCategorie;0;;;;;Everything has a meaning;Yes ;No ;;egaliteEquite;13
Le libre arbitre existe;Oui;Non;sansCategorie;0;deterministe;15;sansCategorie;0;sansCategorie;0;;;;;Free will exists;Yes ;No ;;justice;12
Le destin existe;Oui;Non;deterministe;20;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Destiny exists;Yes ;No ;;roleCitoyen;8
Il y a quelque chose après la mort;Oui;Non;spiritualite;20;cartesien;10;sansCategorie;0;sansCategorie;0;;;;;There is something after death;Yes ;No ;;cartesien;18
Il existe une forme de vérité absolue;Oui;Non;spiritualite;10;sansCategorie;0;cartesien;10;sansCategorie;0;;;;;There is a form of absolute truth;Yes ;No ;;capitaliste;8
L'Homme est bon par nature;Oui;Non;natureHumaine;20;natureHumaine;-20;fermete;-10;fermete;10;;;;;Humans are inherently good;Yes ;No ;;fermete;19
La peine de mort peut être justifiée;Oui;Non;fermete;20;fermete;-10;sansCategorie;0;sansCategorie;0;;;;;The death penalty can be justified;Yes ;No ;;deterministe;5
Chien ou chat;Chien;Chat;rapportAuxAutres;5;independance;5;sansCategorie;0;sansCategorie;0;;;;;Dog or cat;Dog;Cat;;independance;5
L'art doit choquer;Oui;Non;art;10;art;-5;sansCategorie;0;sansCategorie;0;;;;;Art should be shocking;Yes ;No;;;
L'art est utile;Oui;Non;art;15;art;-15;sansCategorie;0;sansCategorie;0;;;;;Art is useful;Yes ;No;;;
Est-ce que tu t'aimes;Oui;Non;ego;10;ego;-20;sansCategorie;0;sansCategorie;0;;;;;Do you love yourself;Yes ;No;;;
La technologie nous dépasse;Oui;Non;cartesien;-10;cartesien;5;sansCategorie;0;sansCategorie;0;;;;;Technology is surpassing us;Yes ;No;;;
C'était mieux avant;Oui;Non;tradiProgres;-20;tradiProgres;10;sansCategorie;0;sansCategorie;0;;;FOSSILE;1;Things were better before;Yes ;No;;;
Tu es souvent nostalgique;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Do you often feel nostalgic;Yes ;No;;;
La famille ou les amis;La famille;Les amis;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;ARBRE;1;;;Family or friends;Family;Friends;;;
Le bonheur est quantifiable;Oui;Non;cartesien;10;spiritualite;10;sansCategorie;0;sansCategorie;0;;;;;Happiness can be quantified;Yes ;No;;;
Tu te sens plus intelligent que la moyenne;Oui;Non;ego;10;ego;-10;sansCategorie;0;sansCategorie;0;;;;;Do you feel smarter than average;Yes ;No;;;
Tu as plus d'ego que la moyenne;Oui;Non;ego;15;ego;-10;sansCategorie;0;sansCategorie;0;;;;;Do you have more ego than average;Yes ;No;;;
Tu te sens compris.e;Oui;Non;rapportAuxAutres;10;rapportAuxAutres;-10;bonheur;10;bonheur;-10;;;;;Do you feel understood;Yes ;No;;;
La réussite ne peut exister qu'au prix de nombreux échecs;Oui;Non;capitaliste;10;capitaliste;-10;sansCategorie;0;sansCategorie;0;;;;;Success can only exist at the cost of many failures;Yes ;No;;;
Toute pratique peut-être artistique;Oui;Non;art;10;art;-10;sansCategorie;0;sansCategorie;0;;;;;Any practice can be art;Yes ;No;;;
L'art doit être beau;Oui;Non;art;-10;art;10;sansCategorie;0;sansCategorie;0;;;;;Art should be beautiful;Yes ;No;;;
Il y a certaines choses chez moi que je ne pourrais jamais changer;Oui;Non;ego;10;ego;-10;sansCategorie;0;sansCategorie;0;;;;;There are things about myself that I could never change;Yes ;No;;;
La vie a un sens;Oui;Non;spiritualite;10;spiritualite;-20;sansCategorie;0;sansCategorie;0;;;;;Life has a meaning;Yes ;No;;;
Tout le monde est beau;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Everyone is beautiful;Yes ;No;;;
Tout le monde est intéressant;Oui;Non;rapportAuxAutres;5;rapportAuxAutres;-5;sansCategorie;0;sansCategorie;0;;;;;Everyone is beautiful;Yes ;No;;;
Le talent existe;Oui;Non;deterministe;10;deterministe;-10;sansCategorie;0;sansCategorie;0;;;;;Talent exists;Yes ;No;;;
Je suis destiné à ressembler à mes parents;Oui;Non;deterministe;10;deterministe;-10;education;-10;education;10;;;;;I'm bound to look like my parents;Yes ;No;;;
Tu pourrais manger ton plat préféré tous les jours;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Could you eat your favorite dish every day;Yes ;No;;;
Tu pourrais survivre plus longtemps que la moyenne sur une île déserte;Oui;Non;ego;10;ego;-5;sansCategorie;0;sansCategorie;0;;;;;Could you survive longer than average on a deserted island;Yes ;No;;;
Tu aimerais devenir célèbre;Oui;Non;ego;10;ego;-10;RapportASoi;-10;RapportASoi;10;;;;;Would you like to become famous;Yes ;No;;;
Tu pourrais être heureux.e seul.e;Oui;Non;independance;20;independance;-10;bonheur;10;bonheur;-5;;;;;Could you be happy alone;Yes ;No;;;
Tu préfères connaître le grand amour ou devenir ultra riche;Grand amour;Richesse;sansCategorie;0;capitaliste;10;sansCategorie;0;independance;10;;;;;To find the love of your life or to become ultra-rich;Love of your life;Ultra-rich;;;
Tu crois en l'âme sœur;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;CYGNE;1;;;Do you believe in soulmates;Yes ;No;;;
Tu crois au coup de foudre;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Do you believe in love at first sight;Yes ;No;;;
L'amour peut être inconditionnel;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;POULE;1;;;Love can be unconditional;Yes ;No;;;
Tu préfères perdre tous les souvenirs que tu as des gens que tu aimes ou qu'ils perdent tous leurs souvenirs de toi;Tu perds tes souvenirs;Les autres t'oublient;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Would you rather lose all your memories of the people you love, or would you rather they lose all their memories of you?;All memories of people you love;All memories of you ;;;
Les animaux ont une conscience;Oui;Non;cartesien;-5;cartesien;10;sansCategorie;0;sansCategorie;0;;;;;Animals have consciousness;Yes ;No;;;
